URLs,Labels Detected,Text Detected (if any),Possible Joy (Facial Recognition)
/build/images/logo/logo_classic.png,,,
http://imgproc.airliners.net/photos/airliners/5/0/0/5378005-v4857b967756-6.jpg,Motor vehicle Photography Fisheye lens Vehicle Auto part Automotive window part Car ,,
http://imgproc.airliners.net/photos/user/3/0/1/profile-photo-15103-v4e14f623d1e-5.jpg,Brass Fashion accessory Metal Emblem ,,
http://imgproc.airliners.net/photos/airliners/7/6/1/5378167-v4c96879c4d1-6.jpg,Airplane Airline Aircraft Airliner Flap Vehicle Wide-body aircraft Aviation Aerospace engineering Toy airplane ,,
/build/images/default/profile-photo.png,,,
http://imgproc.airliners.net/photos/airliners/7/2/3/5378327-v4040be3cb97-6.jpg,Airplane Air travel Airline Aircraft Vehicle Flight Aerospace engineering Airliner Aviation Wide-body aircraft ,,
/build/images/default/profile-photo.png,,,
http://imgproc.airliners.net/photos/airliners/3/0/1/5378103-v42f0b5cf527-6.jpg,Aircraft Vehicle Airplane Aviation Fighter aircraft Air force Military aircraft Jet aircraft Flight Boeing f/a-18e/f super hornet ,,
http://imgproc.airliners.net/photos/user/7/0/1/profile-photo-49107-v49ef21bd35d-5.jpg,Airplane Aircraft Vehicle Aviation Aerospace engineering Propeller Propeller-driven aircraft Military aircraft Flight Lockheed c-130 hercules ,,
http://imgproc.airliners.net/photos/airliners/5/1/7/5377715-v42da6737059-6.jpg,Helicopter Helicopter rotor Rotorcraft Aircraft Vehicle Aviation Military helicopter Air force Military aircraft Aérospatiale super frelon ,,
http://imgproc.airliners.net/photos/user/1/1/6/profile-photo-146611-v42b47893df4-5.jpg,,,
http://imgproc.airliners.net/photos/airliners/9/8/6/5377689-v40e87f14674-10.jpg,Aircraft Vehicle Airplane Aviation Military aircraft Fighter aircraft Air force Jet aircraft Flight Aerospace manufacturer ,"FRIZERSWET
 FRIZERSWET ",
http://imgproc.airliners.net/photos/airliners/7/8/1/5384187-v4766aeb049f-6.jpg,Airline Air travel Airliner Vehicle Airplane Wide-body aircraft Aviation Aircraft Flap Aerospace engineering ,"TURKOHAIRUNIS
 TURKOHAIRUNIS ",
http://imgproc.airliners.net/photos/airliners/7/2/0/5383027-v4e771dbda2a-6.jpg,,,
